model,seed,mode,episode,reward
lunarlander_ddqn_per,1,greedy,9,15.3654
lunarlander_ddqn_per,1,greedy,10,275.3579
lunarlander_ddqn_per,1,greedy,11,231.8834
lunarlander_ddqn_per,1,greedy,12,100.9307
lunarlander_ddqn_per,1,greedy,13,227.5724
lunarlander_ddqn_per,1,greedy,14,154.6311
lunarlander_ddqn_per,1,greedy,15,153.8071
lunarlander_ddqn_per,1,greedy,16,240.0593
lunarlander_ddqn_per,1,greedy,17,174.4736
lunarlander_ddqn_per,1,greedy,18,243.2109
lunarlander_ddqn_per,1,greedy,19,-36.9021
lunarlander_ddqn_per,1,greedy,20,261.3888
lunarlander_ddqn_per,2,greedy,1,207.3307
lunarlander_ddqn_per,2,greedy,2,139.0842
lunarlander_ddqn_per,2,greedy,3,84.2157
lunarlander_ddqn_per,2,greedy,4,232.9453
lunarlander_ddqn_per,2,greedy,5,113.709
lunarlander_ddqn_per,2,greedy,6,234.5754
lunarlander_ddqn_per,2,greedy,7,254.6589
lunarlander_ddqn_per,2,greedy,8,144.3225
lunarlander_ddqn_per,2,greedy,9,231.3738
lunarlander_ddqn_per,2,greedy,10,153.3876
lunarlander_ddqn_per,2,greedy,11,227.392
lunarlander_ddqn_per,2,greedy,12,244.2209
lunarlander_ddqn_per,2,greedy,13,264.7715
lunarlander_ddqn_per,2,greedy,14,284.9103
lunarlander_ddqn_per,2,greedy,15,184.6322
lunarlander_ddqn_per,2,greedy,16,240.496
lunarlander_ddqn_per,2,greedy,17,115.2514
lunarlander_ddqn_per,2,greedy,18,231.7688
lunarlander_ddqn_per,2,greedy,19,126.314
lunarlander_ddqn_per,2,greedy,20,263.0207
lunarlander_dueling_dqn_per,0,greedy,1,137.6193
lunarlander_dueling_dqn_per,0,greedy,2,140.8471
lunarlander_dueling_dqn_per,0,greedy,3,241.9925
lunarlander_dueling_dqn_per,0,greedy,4,219.5638
lunarlander_dueling_dqn_per,0,greedy,5,125.4264
lunarlander_dueling_dqn_per,0,greedy,6,98.328
lunarlander_dueling_dqn_per,0,greedy,7,242.841
lunarlander_dueling_dqn_per,0,greedy,8,129.1548
lunarlander_dueling_dqn_per,0,greedy,9,280.4939
lunarlander_dueling_dqn_per,0,greedy,10,118.7883
lunarlander_dueling_dqn_per,0,greedy,11,64.7272
lunarlander_dueling_dqn_per,0,greedy,12,255.1788
lunarlander_dueling_dqn_per,0,greedy,13,220.3599
lunarlander_dueling_dqn_per,0,greedy,14,253.7061
lunarlander_dueling_dqn_per,0,greedy,15,127.9563
lunarlander_dueling_dqn_per,0,greedy,16,273.3219
lunarlander_dueling_dqn_per,0,greedy,17,2.5997
lunarlander_dueling_dqn_per,0,greedy,18,266.4239
lunarlander_dueling_dqn_per,0,greedy,19,109.6656
lunarlander_dueling_dqn_per,0,greedy,20,259.4433
lunarlander_dueling_dqn_per,1,greedy,1,112.5755
lunarlander_dueling_dqn_per,1,greedy,2,221.2322
lunarlander_dueling_dqn_per,1,greedy,3,190.0565
lunarlander_dueling_dqn_per,1,greedy,4,120.3151
lunarlander_dueling_dqn_per,1,greedy,5,103.9458
lunarlander_dueling_dqn_per,1,greedy,6,175.7283
lunarlander_dueling_dqn_per,1,greedy,7,140.7745
lunarlander_dueling_dqn_per,1,greedy,8,1.5561
lunarlander_dueling_dqn_per,1,greedy,9,102.4855
lunarlander_dueling_dqn_per,1,greedy,10,231.3606
lunarlander_dueling_dqn_per,1,greedy,11,189.4787
lunarlander_dueling_dqn_per,1,greedy,12,98.8166
lunarlander_dueling_dqn_per,1,greedy,13,175.2616
lunarlander_dueling_dqn_per,1,greedy,14,119.9739
lunarlander_dueling_dqn_per,1,greedy,15,83.157
lunarlander_dueling_dqn_per,1,greedy,16,265.3042
lunarlander_dueling_dqn_per,1,greedy,17,284.5726
lunarlander_dueling_dqn_per,1,greedy,18,239.9024
lunarlander_dueling_dqn_per,1,greedy,19,43.2325
lunarlander_dueling_dqn_per,1,greedy,20,122.9082
lunarlander_dueling_dqn_per,2,greedy,1,256.931
lunarlander_dueling_dqn_per,2,greedy,2,252.9649
lunarlander_dueling_dqn_per,2,greedy,3,216.6678
lunarlander_dueling_dqn_per,2,greedy,4,229.2163
lunarlander_dueling_dqn_per,2,greedy,5,148.6187
lunarlander_dueling_dqn_per,2,greedy,6,231.7134
lunarlander_dueling_dqn_per,2,greedy,7,136.8045
lunarlander_dueling_dqn_per,2,greedy,8,130.6714
lunarlander_dueling_dqn_per,2,greedy,9,271.0563
lunarlander_dueling_dqn_per,2,greedy,10,258.8911
lunarlander_dueling_dqn_per,2,greedy,11,223.5985
lunarlander_dueling_dqn_per,2,greedy,12,241.4921
lunarlander_dueling_dqn_per,2,greedy,13,182.5277
lunarlander_dueling_dqn_per,2,greedy,14,273.8686
lunarlander_dueling_dqn_per,2,greedy,15,278.6945
lunarlander_dueling_dqn_per,2,greedy,16,254.0149
lunarlander_dueling_dqn_per,2,greedy,17,107.145
lunarlander_dueling_dqn_per,2,greedy,18,239.237
lunarlander_dueling_dqn_per,2,greedy,19,272.8807
lunarlander_dueling_dqn_per,2,greedy,20,89.9486
lunarlander_ppo_improved,0,greedy,1,155.8063
lunarlander_ppo_improved,0,greedy,2,166.9193
lunarlander_ppo_improved,0,greedy,3,200.6518
lunarlander_ppo_improved,0,greedy,4,177.9868
