environment,algorithm,seed,episode,train_reward,eval_reward
LunarLander-v3,ppo,0,159,-142.5617,
LunarLander-v3,ppo,0,160,-289.5692,-181.6994
LunarLander-v3,ppo,0,161,-127.1503,
LunarLander-v3,ppo,0,162,-223.8983,
LunarLander-v3,ppo,0,163,-107.2839,
LunarLander-v3,ppo,0,164,-149.095,
LunarLander-v3,ppo,0,165,-88.8994,
LunarLander-v3,ppo,0,166,-92.6372,
LunarLander-v3,ppo,0,167,-108.2058,
LunarLander-v3,ppo,0,168,-81.6649,
LunarLander-v3,ppo,0,169,-150.6939,
LunarLander-v3,ppo,0,170,-106.9216,
LunarLander-v3,ppo,0,171,-92.3711,
LunarLander-v3,ppo,0,172,-139.118,
LunarLander-v3,ppo,0,173,-68.4652,
LunarLander-v3,ppo,0,174,-97.1966,
LunarLander-v3,ppo,0,175,-127.9413,
LunarLander-v3,ppo,0,176,-92.5481,
LunarLander-v3,ppo,0,177,-121.9962,
LunarLander-v3,ppo,0,178,-157.5446,
LunarLander-v3,ppo,0,179,-181.818,
LunarLander-v3,ppo,0,180,-206.5626,-267.4055
LunarLander-v3,ppo,0,181,-350.8203,
LunarLander-v3,ppo,0,182,-165.3998,
LunarLander-v3,ppo,0,183,-320.0544,
LunarLander-v3,ppo,0,184,-130.8173,
LunarLander-v3,ppo,0,185,-88.4858,
LunarLander-v3,ppo,0,186,-137.6522,
LunarLander-v3,ppo,0,187,-202.4374,
LunarLander-v3,ppo,0,188,5.1079,
LunarLander-v3,ppo,0,189,-74.1468,
LunarLander-v3,ppo,0,190,-196.8173,
LunarLander-v3,ppo,0,191,-84.8545,
LunarLander-v3,ppo,0,192,-93.648,
LunarLander-v3,ppo,0,193,-123.7013,
LunarLander-v3,ppo,0,194,-111.0688,
LunarLander-v3,ppo,0,195,-140.5554,
LunarLander-v3,ppo,0,196,-257.0464,
LunarLander-v3,ppo,0,197,-67.1521,
LunarLander-v3,ppo,0,198,-83.922,
LunarLander-v3,ppo,0,199,-144.6262,
LunarLander-v3,ppo,0,200,-186.4479,-102.113
LunarLander-v3,ppo,0,201,-119.6575,
LunarLander-v3,ppo,0,202,-138.7128,
LunarLander-v3,ppo,0,203,-132.1542,
LunarLander-v3,ppo,0,204,-80.0698,
LunarLander-v3,ppo,0,205,-167.4645,
LunarLander-v3,ppo,0,206,-89.2219,
LunarLander-v3,ppo,0,207,-93.2401,
LunarLander-v3,ppo,0,208,-115.3357,
LunarLander-v3,ppo,0,209,-107.0658,
LunarLander-v3,ppo,0,210,-166.6008,
LunarLander-v3,ppo,0,211,-80.0172,
LunarLander-v3,ppo,0,212,-121.6512,
LunarLander-v3,ppo,0,213,-133.089,
LunarLander-v3,ppo,0,214,-373.3128,
LunarLander-v3,ppo,0,215,-120.4442,
LunarLander-v3,ppo,0,216,-293.1229,
LunarLander-v3,ppo,0,217,-140.5036,
LunarLander-v3,ppo,0,218,-188.5176,
LunarLander-v3,ppo,0,219,-85.0794,
LunarLander-v3,ppo,0,220,-121.4793,-105.6297
LunarLander-v3,ppo,0,221,-77.3538,
LunarLander-v3,ppo,0,222,-71.1811,
LunarLander-v3,ppo,0,223,-202.6407,
LunarLander-v3,ppo,0,224,-112.2824,
LunarLander-v3,ppo,0,225,-81.956,
LunarLander-v3,ppo,0,226,-42.5096,
LunarLander-v3,ppo,0,227,-93.7816,
LunarLander-v3,ppo,0,228,-48.3122,
LunarLander-v3,ppo,0,229,-114.3223,
LunarLander-v3,ppo,0,230,-84.1947,
LunarLander-v3,ppo,0,231,-94.3982,
LunarLander-v3,ppo,0,232,-152.0468,
LunarLander-v3,ppo,0,233,-120.0564,
LunarLander-v3,ppo,0,234,-89.712,
LunarLander-v3,ppo,0,235,-82.1446,
LunarLander-v3,ppo,0,236,-94.0498,
LunarLander-v3,ppo,0,237,-109.6171,
LunarLander-v3,ppo,0,238,-267.6231,
LunarLander-v3,ppo,0,239,-165.4746,
LunarLander-v3,ppo,0,240,-121.8794,-146.464
LunarLander-v3,ppo,0,241,-185.0347,
LunarLander-v3,ppo,0,242,-112.305,
LunarLander-v3,ppo,0,243,-115.4553,
LunarLander-v3,ppo,0,244,-111.5237,
LunarLander-v3,ppo,0,245,-103.0105,
LunarLander-v3,ppo,0,246,-165.2888,
LunarLander-v3,ppo,0,247,1.9704,
LunarLander-v3,ppo,0,248,-53.378,
LunarLander-v3,ppo,0,249,-270.8354,
LunarLander-v3,ppo,0,250,-157.7463,
LunarLander-v3,ppo,0,251,-35.601,
LunarLander-v3,ppo,0,252,-149.4933,
LunarLander-v3,ppo,0,253,-121.6194,
LunarLander-v3,ppo,0,254,-43.1186,
LunarLander-v3,ppo,0,255,-90.4559,
LunarLander-v3,ppo,0,256,-268.102,
LunarLander-v3,ppo,0,257,-88.2406,
LunarLander-v3,ppo,0,258,-57.1326,
LunarLander-v3,ppo,0,259,-199.9387,
LunarLander-v3,ppo,0,260,-60.1894,-96.4602
LunarLander-v3,ppo,0,261,-149.217,
LunarLander-v3,ppo,0,262,-180.4297,
LunarLander-v3,ppo,0,263,-221.7824,
LunarLander-v3,ppo,0,264,-119.146,
LunarLander-v3,ppo,0,265,-113.5593,
LunarLander-v3,ppo,0,266,-183.0463,
LunarLander-v3,ppo,0,267,-119.6598,
LunarLander-v3,ppo,0,268,-74.7618,
LunarLander-v3,ppo,0,269,-204.0714,
LunarLander-v3,ppo,0,270,-92.3816,
LunarLander-v3,ppo,0,271,-177.2304,
LunarLander-v3,ppo,0,272,-130.8448,
LunarLander-v3,ppo,0,273,-189.6113,
LunarLander-v3,ppo,0,274,-112.0036,
LunarLander-v3,ppo,0,275,-110.9303,
LunarLander-v3,ppo,0,276,-89.9136,
LunarLander-v3,ppo,0,277,-112.57,
LunarLander-v3,ppo,0,278,-121.4506,
LunarLander-v3,ppo,0,279,-238.8794,
LunarLander-v3,ppo,0,280,-80.1158,-142.4547
LunarLander-v3,ppo,0,281,-113.6966,
LunarLander-v3,ppo,0,282,-119.523,
LunarLander-v3,ppo,0,283,-71.5811,
LunarLander-v3,ppo,0,284,-127.4923,
LunarLander-v3,ppo,0,285,-94.2182,
LunarLander-v3,ppo,0,286,-107.3913,
LunarLander-v3,ppo,0,287,-134.1632,
LunarLander-v3,ppo,0,288,-63.4748,
LunarLander-v3,ppo,0,289,-254.9315,
LunarLander-v3,ppo,0,290,-138.4708,
LunarLander-v3,ppo,0,291,-108.0758,
LunarLander-v3,ppo,0,292,-57.4763,
LunarLander-v3,ppo,0,293,-102.2125,
LunarLander-v3,ppo,0,294,-107.6637,
LunarLander-v3,ppo,0,295,-79.3815,
LunarLander-v3,ppo,0,296,-75.4138,
LunarLander-v3,ppo,0,297,-69.5837,
LunarLander-v3,ppo,0,298,-44.8668,
LunarLander-v3,ppo,0,299,-135.4369,
LunarLander-v3,ppo,0,300,-230.9047,-147.0045
LunarLander-v3,ppo,0,301,-149.0706,
LunarLander-v3,ppo,0,302,-17.1228,
LunarLander-v3,ppo,0,303,-153.4644,
LunarLander-v3,ppo,0,304,-56.9409,
LunarLander-v3,ppo,0,305,-52.7347,
LunarLander-v3,ppo,0,306,-98.0054,
LunarLander-v3,ppo,0,307,-27.7061,
LunarLander-v3,ppo,0,308,-87.8933,
LunarLander-v3,ppo,0,309,-279.002,
LunarLander-v3,ppo,0,310,-123.1399,
LunarLander-v3,ppo,0,311,-105.6576,
LunarLander-v3,ppo,0,312,-85.4974,
LunarLander-v3,ppo,0,313,11.1542,
LunarLander-v3,ppo,0,314,-132.5854,
LunarLander-v3,ppo,0,315,-119.5542,
LunarLander-v3,ppo,0,316,-168.6832,
LunarLander-v3,ppo,0,317,-159.2087,
LunarLander-v3,ppo,0,318,-236.7786,
LunarLander-v3,ppo,0,319,-85.1561,
LunarLander-v3,ppo,0,320,-96.8601,-142.9747
LunarLander-v3,ppo,0,321,-128.698,
LunarLander-v3,ppo,0,322,-170.7213,
LunarLander-v3,ppo,0,323,-113.9085,
LunarLander-v3,ppo,0,324,-69.7047,
LunarLander-v3,ppo,0,325,-95.7193,
LunarLander-v3,ppo,0,326,-381.3557,
LunarLander-v3,ppo,0,327,-387.4166,
LunarLander-v3,ppo,0,328,-140.7655,
LunarLander-v3,ppo,0,329,-139.5737,
LunarLander-v3,ppo,0,330,-142.8499,
LunarLander-v3,ppo,0,331,-83.5499,
LunarLander-v3,ppo,0,332,-88.9283,
LunarLander-v3,ppo,0,333,-115.3115,
LunarLander-v3,ppo,0,334,-118.8356,
LunarLander-v3,ppo,0,335,-155.7889,
LunarLander-v3,ppo,0,336,-143.9302,
LunarLander-v3,ppo,0,337,-111.2967,
LunarLander-v3,ppo,0,338,-121.2348,
LunarLander-v3,ppo,0,339,-192.3682,
LunarLander-v3,ppo,0,340,-144.1311,-130.1519
LunarLander-v3,ppo,0,341,-110.1569,
LunarLander-v3,ppo,0,342,-158.6403,
LunarLander-v3,ppo,0,343,-61.3993,
LunarLander-v3,ppo,0,344,-118.0768,
LunarLander-v3,ppo,0,345,-100.5862,
LunarLander-v3,ppo,0,346,-54.9789,
LunarLander-v3,ppo,0,347,-174.9572,
LunarLander-v3,ppo,0,348,-415.561,
LunarLander-v3,ppo,0,349,-254.7265,
LunarLander-v3,ppo,0,350,-86.6553,
LunarLander-v3,ppo,0,351,-109.3728,
LunarLander-v3,ppo,0,352,-196.8322,
LunarLander-v3,ppo,0,353,-79.309,
LunarLander-v3,ppo,0,354,-127.5879,
LunarLander-v3,ppo,0,355,-86.5504,
LunarLander-v3,ppo,0,356,24.3404,
LunarLander-v3,ppo,0,357,-223.2147,
LunarLander-v3,ppo,0,358,-242.1623,
LunarLander-v3,ppo,0,359,-69.7269,
LunarLander-v3,ppo,0,360,-106.44,-107.6549
LunarLander-v3,ppo,0,361,-129.4211,
LunarLander-v3,ppo,0,362,-97.8188,
LunarLander-v3,ppo,0,363,-111.993,
LunarLander-v3,ppo,0,364,-261.5946,
LunarLander-v3,ppo,0,365,-107.0841,
LunarLander-v3,ppo,0,366,-194.1773,
LunarLander-v3,ppo,0,367,-185.9141,
LunarLander-v3,ppo,0,368,-94.2054,
LunarLander-v3,ppo,0,369,-123.974,
LunarLander-v3,ppo,0,370,-59.2069,
LunarLander-v3,ppo,0,371,-117.2309,
LunarLander-v3,ppo,0,372,-86.9006,
LunarLander-v3,ppo,0,373,-78.6108,
LunarLander-v3,ppo,0,374,-110.7455,
LunarLander-v3,ppo,0,375,-91.9426,
LunarLander-v3,ppo,0,376,-228.9661,
LunarLander-v3,ppo,0,377,-154.6695,
LunarLander-v3,ppo,0,378,-77.702,
LunarLander-v3,ppo,0,379,-97.5023,
LunarLander-v3,ppo,0,380,-110.3667,-84.0921
LunarLander-v3,ppo,0,381,-95.6355,
LunarLander-v3,ppo,0,382,-136.79,
LunarLander-v3,ppo,0,383,-104.8069,
LunarLander-v3,ppo,0,384,-82.78,
LunarLander-v3,ppo,0,385,-94.6255,
LunarLander-v3,ppo,0,386,-193.3628,
LunarLander-v3,ppo,0,387,-117.5552,
LunarLander-v3,ppo,0,388,-70.0673,
LunarLander-v3,ppo,0,389,-113.7117,
LunarLander-v3,ppo,0,390,-112.2455,
LunarLander-v3,ppo,0,391,-82.1475,
LunarLander-v3,ppo,0,392,-108.5635,
LunarLander-v3,ppo,0,393,-95.9007,
LunarLander-v3,ppo,0,394,-67.1363,
LunarLander-v3,ppo,0,395,-301.8199,
LunarLander-v3,ppo,0,396,-142.8551,
LunarLander-v3,ppo,0,397,-84.1696,
LunarLander-v3,ppo,0,398,-96.9352,
LunarLander-v3,ppo,0,399,-90.409,
LunarLander-v3,ppo,0,400,-77.5577,-89.7427
LunarLander-v3,ppo,0,401,-169.0181,
LunarLander-v3,ppo,0,402,-133.0303,
LunarLander-v3,ppo,0,403,-233.9543,
LunarLander-v3,ppo,0,404,-146.1103,
LunarLander-v3,ppo,0,405,-110.083,
LunarLander-v3,ppo,0,406,-91.7877,
LunarLander-v3,ppo,0,407,-106.6618,
LunarLander-v3,ppo,0,408,-84.4338,
LunarLander-v3,ppo,0,409,-157.375,
LunarLander-v3,ppo,0,410,-41.4781,
LunarLander-v3,ppo,0,411,-99.7744,
LunarLander-v3,ppo,0,412,-270.6378,
LunarLander-v3,ppo,0,413,-157.8914,
LunarLander-v3,ppo,0,414,-118.9516,
LunarLander-v3,ppo,0,415,-8.6546,
LunarLander-v3,ppo,0,416,-59.1176,
LunarLander-v3,ppo,0,417,-217.8407,
LunarLander-v3,ppo,0,418,-229.8532,
LunarLander-v3,ppo,0,419,-102.9777,
LunarLander-v3,ppo,0,420,-38.7542,-61.6341
LunarLander-v3,ppo,0,421,-276.086,
LunarLander-v3,ppo,0,422,-87.6963,
LunarLander-v3,ppo,0,423,15.8305,
LunarLander-v3,ppo,0,424,-34.1291,
LunarLander-v3,ppo,0,425,-99.7604,
LunarLander-v3,ppo,0,426,-178.3945,
LunarLander-v3,ppo,0,427,-101.602,
LunarLander-v3,ppo,0,428,-121.15,
LunarLander-v3,ppo,0,429,-267.6089,
LunarLander-v3,ppo,0,430,-154.6668,
LunarLander-v3,ppo,0,431,-181.7498,
LunarLander-v3,ppo,0,432,-105.9346,
LunarLander-v3,ppo,0,433,-130.4534,
LunarLander-v3,ppo,0,434,-80.1057,
LunarLander-v3,ppo,0,435,-89.001,
LunarLander-v3,ppo,0,436,-121.0442,
LunarLander-v3,ppo,0,437,-45.5084,
LunarLander-v3,ppo,0,438,-65.2231,
LunarLander-v3,ppo,0,439,-154.0168,
LunarLander-v3,ppo,0,440,-115.6045,-108.0151
LunarLander-v3,ppo,0,441,-148.9855,
LunarLander-v3,ppo,0,442,-99.0108,
LunarLander-v3,ppo,0,443,-119.4426,
LunarLander-v3,ppo,0,444,-104.3631,
LunarLander-v3,ppo,0,445,-110.4966,
LunarLander-v3,ppo,0,446,-54.8748,
LunarLander-v3,ppo,0,447,-94.6826,
LunarLander-v3,ppo,0,448,-112.9624,
LunarLander-v3,ppo,0,449,-77.7404,
LunarLander-v3,ppo,0,450,-22.5588,
LunarLander-v3,ppo,0,451,-85.1602,
LunarLander-v3,ppo,0,452,-93.8868,
LunarLander-v3,ppo,0,453,-163.2765,
LunarLander-v3,ppo,0,454,-64.4952,
LunarLander-v3,ppo,0,455,-107.1824,
LunarLander-v3,ppo,0,456,-143.8474,
LunarLander-v3,ppo,0,457,-178.4764,
LunarLander-v3,ppo,0,458,-189.2513,
LunarLander-v3,ppo,0,459,-93.9106,
LunarLander-v3,ppo,0,460,-124.8573,-71.641
LunarLander-v3,ppo,0,461,-93.3559,
LunarLander-v3,ppo,0,462,-120.8637,
LunarLander-v3,ppo,0,463,-107.0998,
LunarLander-v3,ppo,0,464,-103.4325,
LunarLander-v3,ppo,0,465,-53.1901,
LunarLander-v3,ppo,0,466,-222.094,
LunarLander-v3,ppo,0,467,-87.945,
LunarLander-v3,ppo,0,468,-193.6685,
LunarLander-v3,ppo,0,469,-190.3471,
LunarLander-v3,ppo,0,470,-103.277,
LunarLander-v3,ppo,0,471,-275.9995,
LunarLander-v3,ppo,0,472,-112.2636,
LunarLander-v3,ppo,0,473,-72.1522,
LunarLander-v3,ppo,0,474,-126.0609,
LunarLander-v3,ppo,0,475,-162.2137,
LunarLander-v3,ppo,0,476,-93.429,
LunarLander-v3,ppo,0,477,-120.1464,
LunarLander-v3,ppo,0,478,-49.0855,
LunarLander-v3,ppo,0,479,-160.6363,
LunarLander-v3,ppo,0,480,-110.096,-95.9158
LunarLander-v3,ppo,0,481,-153.6954,
LunarLander-v3,ppo,0,482,-240.5732,
LunarLander-v3,ppo,0,483,-140.2532,
LunarLander-v3,ppo,0,484,-94.1873,
LunarLander-v3,ppo,0,485,-93.0441,
LunarLander-v3,ppo,0,486,-155.7881,
LunarLander-v3,ppo,0,487,-88.46,
LunarLander-v3,ppo,0,488,-234.0464,
LunarLander-v3,ppo,0,489,-60.7381,
LunarLander-v3,ppo,0,490,-36.7359,
LunarLander-v3,ppo,0,491,-268.2756,
LunarLander-v3,ppo,0,492,-124.6981,
LunarLander-v3,ppo,0,493,-151.5014,
LunarLander-v3,ppo,0,494,-70.5576,
LunarLander-v3,ppo,0,495,-125.5113,
LunarLander-v3,ppo,0,496,-82.9593,
LunarLander-v3,ppo,0,497,-128.2232,
LunarLander-v3,ppo,0,498,-119.3432,
LunarLander-v3,ppo,0,499,-109.7309,
LunarLander-v3,ppo,0,500,-90.3166,-97.222
LunarLander-v3,ppo,0,501,-143.9775,
LunarLander-v3,ppo,0,502,-59.5946,
LunarLander-v3,ppo,0,503,-95.4451,
LunarLander-v3,ppo,0,504,-113.6632,
LunarLander-v3,ppo,0,505,-90.2599,
LunarLander-v3,ppo,0,506,-170.2078,
LunarLander-v3,ppo,0,507,-108.5936,
LunarLander-v3,ppo,0,508,-95.149,
LunarLander-v3,ppo,0,509,-105.1698,
LunarLander-v3,ppo,0,510,-122.1524,
LunarLander-v3,ppo,0,511,-59.6103,
LunarLander-v3,ppo,0,512,-121.7328,
LunarLander-v3,ppo,0,513,-108.8494,
LunarLander-v3,ppo,0,514,-159.542,
LunarLander-v3,ppo,0,515,-234.7373,
LunarLander-v3,ppo,0,516,-78.8634,
LunarLander-v3,ppo,0,517,-105.1357,
LunarLander-v3,ppo,0,518,-146.2377,
LunarLander-v3,ppo,0,519,-84.8668,
LunarLander-v3,ppo,0,520,-98.445,-110.3673
LunarLander-v3,ppo,0,521,-144.1193,
LunarLander-v3,ppo,0,522,-102.3013,
LunarLander-v3,ppo,0,523,-191.4036,
