environment,algorithm,seed,episode,train_reward,eval_reward,eval_reward_greedy,eval_reward_stochastic
MountainCar-v0,ppo,0,297,-167.9077,,,
MountainCar-v0,ppo,0,298,-162.551,,,
MountainCar-v0,ppo,0,299,-192.417,,,
MountainCar-v0,ppo,0,300,-187.8684,-155.3715,-155.3715,-182.6163
MountainCar-v0,ppo,0,301,-167.9171,,,
MountainCar-v0,ppo,0,302,-196.9629,,,
MountainCar-v0,ppo,0,303,-155.2864,,,
MountainCar-v0,ppo,0,304,-175.6559,,,
MountainCar-v0,ppo,0,305,-156.3601,,,
MountainCar-v0,ppo,0,306,-137.1604,,,
MountainCar-v0,ppo,0,307,-152.1427,,,
MountainCar-v0,ppo,0,308,-200.0,,,
MountainCar-v0,ppo,0,309,-126.069,,,
MountainCar-v0,ppo,0,310,-200.0,,,
MountainCar-v0,ppo,0,311,-192.1953,,,
MountainCar-v0,ppo,0,312,-172.5848,,,
MountainCar-v0,ppo,0,313,-157.4739,,,
MountainCar-v0,ppo,0,314,-182.2367,,,
MountainCar-v0,ppo,0,315,-187.4437,,,
MountainCar-v0,ppo,0,316,-200.0,,,
MountainCar-v0,ppo,0,317,-115.3384,,,
MountainCar-v0,ppo,0,318,-183.2174,,,
MountainCar-v0,ppo,0,319,-125.8434,,,
MountainCar-v0,ppo,0,320,-168.9654,-155.3715,-155.3715,-183.1966
MountainCar-v0,ppo,0,321,-200.0,,,
MountainCar-v0,ppo,0,322,-186.6746,,,
MountainCar-v0,ppo,0,323,-149.1073,,,
MountainCar-v0,ppo,0,324,-164.31,,,
MountainCar-v0,ppo,0,325,-163.4732,,,
MountainCar-v0,ppo,0,326,-141.4222,,,
MountainCar-v0,ppo,0,327,-173.2972,,,
MountainCar-v0,ppo,0,328,-190.9153,,,
MountainCar-v0,ppo,0,329,-161.5181,,,
MountainCar-v0,ppo,0,330,-200.0,,,
MountainCar-v0,ppo,0,331,-163.9105,,,
MountainCar-v0,ppo,0,332,-147.8691,,,
MountainCar-v0,ppo,0,333,-180.6695,,,
MountainCar-v0,ppo,0,334,-200.0,,,
MountainCar-v0,ppo,0,335,-154.7897,,,
MountainCar-v0,ppo,0,336,-149.809,,,
MountainCar-v0,ppo,0,337,-167.0634,,,
MountainCar-v0,ppo,0,338,-186.3764,,,
MountainCar-v0,ppo,0,339,-130.6604,,,
MountainCar-v0,ppo,0,340,-162.3724,-155.3715,-155.3715,-178.7921
MountainCar-v0,ppo,0,341,-200.0,,,
MountainCar-v0,ppo,0,342,-173.6488,,,
MountainCar-v0,ppo,0,343,-178.4007,,,
MountainCar-v0,ppo,0,344,-175.0347,,,
MountainCar-v0,ppo,0,345,-194.621,,,
MountainCar-v0,ppo,0,346,-114.0626,,,
MountainCar-v0,ppo,0,347,-160.524,,,
MountainCar-v0,ppo,0,348,-162.1339,,,
MountainCar-v0,ppo,0,349,-182.1959,,,
MountainCar-v0,ppo,0,350,-200.0,,,
MountainCar-v0,ppo,0,351,-191.8989,,,
MountainCar-v0,ppo,0,352,-163.2328,,,
MountainCar-v0,ppo,0,353,-176.0576,,,
MountainCar-v0,ppo,0,354,-190.6061,,,
MountainCar-v0,ppo,0,355,-164.938,,,
MountainCar-v0,ppo,0,356,-152.8552,,,
MountainCar-v0,ppo,0,357,-147.8747,,,
MountainCar-v0,ppo,0,358,-200.0,,,
MountainCar-v0,ppo,0,359,-178.1116,,,
MountainCar-v0,ppo,0,360,-179.9825,-155.3715,-155.3715,-171.4945
MountainCar-v0,ppo,0,361,-176.7599,,,
MountainCar-v0,ppo,0,362,-122.7739,,,
MountainCar-v0,ppo,0,363,-177.9955,,,
MountainCar-v0,ppo,0,364,-158.8674,,,
MountainCar-v0,ppo,0,365,-193.4065,,,
MountainCar-v0,ppo,0,366,-177.6725,,,
MountainCar-v0,ppo,0,367,-173.8308,,,
MountainCar-v0,ppo,0,368,-186.4493,,,
MountainCar-v0,ppo,0,369,-200.0,,,
MountainCar-v0,ppo,0,370,-162.5407,,,
MountainCar-v0,ppo,0,371,-185.1602,,,
MountainCar-v0,ppo,0,372,-150.111,,,
MountainCar-v0,ppo,0,373,-168.9424,,,
MountainCar-v0,ppo,0,374,-157.5435,,,
MountainCar-v0,ppo,0,375,-197.9494,,,
MountainCar-v0,ppo,0,376,-175.5063,,,
MountainCar-v0,ppo,0,377,-160.2654,,,
MountainCar-v0,ppo,0,378,-174.2584,,,
MountainCar-v0,ppo,0,379,-134.5688,,,
MountainCar-v0,ppo,0,380,-182.0865,-155.3715,-155.3715,-173.8789
MountainCar-v0,ppo,0,381,-197.957,,,
MountainCar-v0,ppo,0,382,-184.5572,,,
MountainCar-v0,ppo,0,383,-128.079,,,
MountainCar-v0,ppo,0,384,-177.3552,,,
MountainCar-v0,ppo,0,385,-186.3025,,,
MountainCar-v0,ppo,0,386,-187.4132,,,
MountainCar-v0,ppo,0,387,-157.6925,,,
MountainCar-v0,ppo,0,388,-131.6478,,,
MountainCar-v0,ppo,0,389,-158.486,,,
MountainCar-v0,ppo,0,390,-183.221,,,
MountainCar-v0,ppo,0,391,-160.4038,,,
MountainCar-v0,ppo,0,392,-175.9668,,,
MountainCar-v0,ppo,0,393,-178.405,,,
MountainCar-v0,ppo,0,394,-194.9096,,,
MountainCar-v0,ppo,0,395,-178.9561,,,
MountainCar-v0,ppo,0,396,-178.2921,,,
MountainCar-v0,ppo,0,397,-176.002,,,
MountainCar-v0,ppo,0,398,-200.0,,,
MountainCar-v0,ppo,0,399,-165.3853,,,
MountainCar-v0,ppo,0,400,-148.8989,-155.3715,-155.3715,-160.4458
MountainCar-v0,ppo,0,401,-195.9463,,,
MountainCar-v0,ppo,0,402,-175.6425,,,
MountainCar-v0,ppo,0,403,-111.954,,,
MountainCar-v0,ppo,0,404,-169.2071,,,
MountainCar-v0,ppo,0,405,-181.5247,,,
MountainCar-v0,ppo,0,406,-180.6293,,,
MountainCar-v0,ppo,0,407,-134.1542,,,
MountainCar-v0,ppo,0,408,-194.7935,,,
MountainCar-v0,ppo,0,409,-142.531,,,
MountainCar-v0,ppo,0,410,-162.6188,,,
MountainCar-v0,ppo,0,411,-86.1138,,,
MountainCar-v0,ppo,0,412,-193.5299,,,
MountainCar-v0,ppo,0,413,-129.0168,,,
MountainCar-v0,ppo,0,414,-172.7268,,,
MountainCar-v0,ppo,0,415,-188.6141,,,
MountainCar-v0,ppo,0,416,-169.0814,,,
MountainCar-v0,ppo,0,417,-182.3388,,,
MountainCar-v0,ppo,0,418,-127.9811,,,
MountainCar-v0,ppo,0,419,-176.2787,,,
MountainCar-v0,ppo,0,420,-169.4432,-155.3715,-155.3715,-161.4594
MountainCar-v0,ppo,0,421,-156.2506,,,
