environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
LunarLander-v3,dueling_dqn,1,168,-139.5856,,0.078938
LunarLander-v3,dueling_dqn,1,169,206.3607,,0.077754
LunarLander-v3,dueling_dqn,1,170,-125.4088,,0.076588
LunarLander-v3,dueling_dqn,1,171,83.9604,,0.075439
LunarLander-v3,dueling_dqn,1,172,-129.9362,,0.074307
LunarLander-v3,dueling_dqn,1,173,-121.0716,,0.073193
LunarLander-v3,dueling_dqn,1,174,-96.1997,,0.072095
LunarLander-v3,dueling_dqn,1,175,-143.4802,,0.071013
LunarLander-v3,dueling_dqn,1,176,-110.8168,,0.069948
LunarLander-v3,dueling_dqn,1,177,-110.1222,,0.068899
LunarLander-v3,dueling_dqn,1,178,-74.6678,,0.067865
LunarLander-v3,dueling_dqn,1,179,-104.3947,,0.066848
LunarLander-v3,dueling_dqn,1,180,-116.606,-85.6093,0.065845
LunarLander-v3,dueling_dqn,1,181,-123.7156,,0.064857
LunarLander-v3,dueling_dqn,1,182,-86.3051,,0.063884
LunarLander-v3,dueling_dqn,1,183,-107.3255,,0.062926
LunarLander-v3,dueling_dqn,1,184,-93.6583,,0.061982
LunarLander-v3,dueling_dqn,1,185,-86.6459,,0.061052
LunarLander-v3,dueling_dqn,1,186,-80.2879,,0.060137
LunarLander-v3,dueling_dqn,1,187,-77.4387,,0.059235
LunarLander-v3,dueling_dqn,1,188,-108.8029,,0.058346
LunarLander-v3,dueling_dqn,1,189,-116.3457,,0.057471
LunarLander-v3,dueling_dqn,1,190,-107.3828,,0.056609
LunarLander-v3,dueling_dqn,1,191,-104.8424,,0.05576
LunarLander-v3,dueling_dqn,1,192,83.5061,,0.054923
LunarLander-v3,dueling_dqn,1,193,20.6574,,0.054099
LunarLander-v3,dueling_dqn,1,194,-104.5684,,0.053288
LunarLander-v3,dueling_dqn,1,195,-72.9106,,0.052489
LunarLander-v3,dueling_dqn,1,196,-132.9896,,0.051701
LunarLander-v3,dueling_dqn,1,197,-108.9472,,0.050926
LunarLander-v3,dueling_dqn,1,198,-91.0639,,0.050162
LunarLander-v3,dueling_dqn,1,199,-112.5043,,0.049409
LunarLander-v3,dueling_dqn,1,200,-52.2847,-93.6718,0.048668
LunarLander-v3,dueling_dqn,2,1,-93.8832,,0.985
LunarLander-v3,dueling_dqn,2,2,-16.6547,,0.970225
LunarLander-v3,dueling_dqn,2,3,-104.3699,,0.955672
LunarLander-v3,dueling_dqn,2,4,31.2888,,0.941337
LunarLander-v3,dueling_dqn,2,5,-329.1065,,0.927217
LunarLander-v3,dueling_dqn,2,6,-306.131,,0.913308
LunarLander-v3,dueling_dqn,2,7,-431.9951,,0.899609
LunarLander-v3,dueling_dqn,2,8,-457.9012,,0.886115
LunarLander-v3,dueling_dqn,2,9,-216.1381,,0.872823
LunarLander-v3,dueling_dqn,2,10,-43.7878,,0.85973
LunarLander-v3,dueling_dqn,2,11,-98.8571,,0.846834
LunarLander-v3,dueling_dqn,2,12,-210.7496,,0.834132
LunarLander-v3,dueling_dqn,2,13,-137.2354,,0.82162
LunarLander-v3,dueling_dqn,2,14,-51.1314,,0.809296
LunarLander-v3,dueling_dqn,2,15,-125.5334,,0.797156
LunarLander-v3,dueling_dqn,2,16,-143.1743,,0.785199
LunarLander-v3,dueling_dqn,2,17,-99.9151,,0.773421
LunarLander-v3,dueling_dqn,2,18,-106.259,,0.76182
LunarLander-v3,dueling_dqn,2,19,-180.1769,,0.750392
LunarLander-v3,dueling_dqn,2,20,-312.1439,-130.1662,0.739136
LunarLander-v3,dueling_dqn,2,21,-49.47,,0.728049
