environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
MountainCar-v0,dueling_dqn,0,133,-157.7981,,0.133973
MountainCar-v0,dueling_dqn,0,134,-97.6688,,0.131964
MountainCar-v0,dueling_dqn,0,135,-73.1111,,0.129984
MountainCar-v0,dueling_dqn,0,136,55.3088,,0.128035
MountainCar-v0,dueling_dqn,0,137,-180.236,,0.126114
MountainCar-v0,dueling_dqn,0,138,-91.491,,0.124222
MountainCar-v0,dueling_dqn,0,139,-6.3905,,0.122359
MountainCar-v0,dueling_dqn,0,140,-180.1074,-122.1176,0.120524
MountainCar-v0,dueling_dqn,0,141,-171.6957,,0.118716
MountainCar-v0,dueling_dqn,0,142,55.8275,,0.116935
MountainCar-v0,dueling_dqn,0,143,51.642,,0.115181
MountainCar-v0,dueling_dqn,0,144,-153.795,,0.113453
MountainCar-v0,dueling_dqn,0,145,-147.6855,,0.111752
MountainCar-v0,dueling_dqn,0,146,-162.7814,,0.110075
MountainCar-v0,dueling_dqn,0,147,-126.0899,,0.108424
MountainCar-v0,dueling_dqn,0,148,-148.0635,,0.106798
MountainCar-v0,dueling_dqn,0,149,46.5961,,0.105196
MountainCar-v0,dueling_dqn,0,150,24.3239,,0.103618
MountainCar-v0,dueling_dqn,0,151,67.2615,,0.102064
MountainCar-v0,dueling_dqn,0,152,45.5073,,0.100533
MountainCar-v0,dueling_dqn,0,153,-121.913,,0.099025
MountainCar-v0,dueling_dqn,0,154,-170.534,,0.097539
MountainCar-v0,dueling_dqn,0,155,47.6167,,0.096076
MountainCar-v0,dueling_dqn,0,156,24.9485,,0.094635
MountainCar-v0,dueling_dqn,0,157,40.3351,,0.093216
MountainCar-v0,dueling_dqn,0,158,-152.7372,,0.091817
MountainCar-v0,dueling_dqn,0,159,-83.2827,,0.09044
MountainCar-v0,dueling_dqn,0,160,-153.5916,-160.3789,0.089083
MountainCar-v0,dueling_dqn,0,161,13.4375,,0.087747
MountainCar-v0,dueling_dqn,0,162,33.7385,,0.086431
MountainCar-v0,dueling_dqn,0,163,-173.6788,,0.085134
MountainCar-v0,dueling_dqn,0,164,34.5116,,0.083857
MountainCar-v0,dueling_dqn,0,165,31.0645,,0.0826
MountainCar-v0,dueling_dqn,0,166,-161.6087,,0.081361
MountainCar-v0,dueling_dqn,0,167,18.0966,,0.08014
MountainCar-v0,dueling_dqn,0,168,-168.6812,,0.078938
MountainCar-v0,dueling_dqn,0,169,9.5124,,0.077754
MountainCar-v0,dueling_dqn,0,170,-128.8506,,0.076588
MountainCar-v0,dueling_dqn,0,171,37.6327,,0.075439
MountainCar-v0,dueling_dqn,0,172,38.7816,,0.074307
MountainCar-v0,dueling_dqn,0,173,34.9923,,0.073193
MountainCar-v0,dueling_dqn,0,174,-156.7754,,0.072095
MountainCar-v0,dueling_dqn,0,175,72.2948,,0.071013
MountainCar-v0,dueling_dqn,0,176,-146.6652,,0.069948
MountainCar-v0,dueling_dqn,0,177,52.7086,,0.068899
MountainCar-v0,dueling_dqn,0,178,-171.2272,,0.067865
MountainCar-v0,dueling_dqn,0,179,-140.0208,,0.066848
MountainCar-v0,dueling_dqn,0,180,-164.1548,-160.3789,0.065845
MountainCar-v0,dueling_dqn,0,181,-169.7716,,0.064857
MountainCar-v0,dueling_dqn,0,182,27.887,,0.063884
